Unnamed: 0,created_at,user_id,username,tweet,place,near,clean_tweet,tokens,lemma,lemma_sentence,pos_tag,lemma_sentence(with POS),sentiword_analysis,vader_score,textblob_polarity,senti_textblob,senti_wordnet,senti_vader
3,1/6/2021,336462129.0,veronica_foote_,@doctor_oxford Rachel you absolutely nailed it tonight on @bbcquestiontime throughout the program. Please continue to shine a light on what is going on in the @NHSuk to help defeat #Covid19UK for the benefit of the Covid and non Covid patients.,,London,rachel you absolutely nailed tonight throughout program please continue shine light what going help defeat covid for benefit covid non covid patients,"['rachel', 'you', 'absolutely', 'nailed', 'tonight', 'throughout', 'program', 'please', 'continue', 'shine', 'light', 'what', 'going', 'help', 'defeat', 'covid', 'for', 'benefit', 'covid', 'non', 'covid', 'patients']","['rachel', 'you', 'absolutely', 'nailed', 'tonight', 'throughout', 'program', 'please', 'continue', 'shine', 'light', 'what', 'going', 'help', 'defeat', 'covid', 'for', 'benefit', 'covid', 'non', 'covid', 'patient']",rachel you absolutely nailed tonight throughout program please continue shine light what going help defeat covid for benefit covid non covid patient,"[('rachel', None), ('you', None), ('absolutely', 'r'), ('nailed', 'v'), ('tonight', 'n'), ('throughout', None), ('program', 'n'), ('please', None), ('continue', 'v'), ('shine', 'n'), ('light', 'n'), ('what', None), ('going', 'v'), ('help', 'n'), ('defeat', 'v'), ('covid', 'a'), ('for', None), ('benefit', 'n'), ('covid', 'a'), ('non', 'a'), ('covid', 'a'), ('patients', 'n')]",  rachel you absolutely nail tonight throughout program please continue shine light what go help defeat covid for benefit covid non covid patient,1.375,0.6124,0.3,1,1,1
4,1/6/2021,1.06e+18,5herii,"My kids can never say they don’t wanna do their homework. I’ve got ✨covid 19 ✨ and I’m still banging out my 2,000 word essay, you have no excuse x",,London,kids can never say they not wana their homework have got sparkles covid sparkles still banging out word essay you have no excuse,"['kids', 'can', 'never', 'say', 'they', 'not', 'wana', 'their', 'homework', 'have', 'got', 'sparkles', 'covid', 'sparkles', 'still', 'banging', 'out', 'word', 'essay', 'you', 'have', 'no', 'excuse']","['kid', 'can', 'never', 'say', 'they', 'not', 'wana', 'their', 'homework', 'have', 'got', 'sparkle', 'covid', 'sparkle', 'still', 'banging', 'out', 'word', 'essay', 'you', 'have', 'no', 'excuse']",kid can never say they not wana their homework have got sparkle covid sparkle still banging out word essay you have no excuse,"[('kids', 'n'), ('can', None), ('never', 'r'), ('say', 'v'), ('they', None), ('not', None), ('wana', 'v'), ('their', None), ('homework', 'n'), ('have', None), ('got', 'v'), ('sparkles', 'n'), ('covid', 'a'), ('sparkles', 'n'), ('still', 'r'), ('banging', 'v'), ('out', None), ('word', 'n'), ('essay', 'n'), ('you', None), ('have', 'v'), ('no', None), ('excuse', 'n')]",  kid can never say they not wana their homework have get sparkle covid sparkle still bang out word essay you have no excuse,0.125,0.6573,0.025,1,1,1
5,1/6/2021,39230775.0,djalijournalist,"We are not messing about with COVID-19. Wear your mask all the time. @ London, United Kingdom  https://t.co/jOLjh2Avxx","{'type': 'Point', 'coordinates': [51.5141, -0.10940000000000001]}",London,are not messing about with covid wear your mask all time london united kingdom,"['are', 'not', 'messing', 'about', 'with', 'covid', 'wear', 'your', 'mask', 'all', 'time', 'london', 'united', 'kingdom']","['are', 'not', 'messing', 'about', 'with', 'covid', 'wear', 'your', 'mask', 'all', 'time', 'london', 'united', 'kingdom']",are not messing about with covid wear your mask all time london united kingdom,"[('are', None), ('not', None), ('messing', 'v'), ('about', None), ('with', None), ('covid', 'a'), ('wear', 'v'), ('your', None), ('mask', 'n'), ('all', None), ('time', 'n'), ('london', None), ('united', None), ('kingdom', None)]",  are not mess about with covid wear your mask all time london united kingdom,-0.25,0.6007,0.0875,1,-1,1
7,1/6/2021,63469953.0,aopapilot,@rsmck @underwatergeek @Pilotworldshop @SouthernFairy16 @UK_CAA @Visicover @AdamWagner1 The problem I think with some airfields is the cost of remaining open verses the potential income. Add to that the benefit of furloughed staff. These are difficult times for everyone and we need to get the balance right. Inc COVId safe activities,,London,problem think with some airfields cost remaining open verses potential income add that benefit furloughed staff these are difficult times for everyone need get balance right inc covid safe activities,"['problem', 'think', 'with', 'some', 'airfields', 'cost', 'remaining', 'open', 'verses', 'potential', 'income', 'add', 'that', 'benefit', 'furloughed', 'staff', 'these', 'are', 'difficult', 'times', 'for', 'everyone', 'need', 'get', 'balance', 'right', 'inc', 'covid', 'safe', 'activities']","['problem', 'think', 'with', 'some', 'airfield', 'cost', 'remaining', 'open', 'verse', 'potential', 'income', 'add', 'that', 'benefit', 'furloughed', 'staff', 'these', 'are', 'difficult', 'time', 'for', 'everyone', 'need', 'get', 'balance', 'right', 'inc', 'covid', 'safe', 'activity']",problem think with some airfield cost remaining open verse potential income add that benefit furloughed staff these are difficult time for everyone need get balance right inc covid safe activity,"[('problem', 'n'), ('think', 'v'), ('with', None), ('some', None), ('airfields', 'n'), ('cost', 'v'), ('remaining', 'v'), ('open', 'a'), ('verses', None), ('potential', 'a'), ('income', 'n'), ('add', 'v'), ('that', None), ('benefit', 'n'), ('furloughed', 'v'), ('staff', 'n'), ('these', None), ('are', None), ('difficult', 'a'), ('times', 'n'), ('for', None), ('everyone', None), ('need', 'v'), ('get', 'v'), ('balance', 'n'), ('right', None), ('inc', None), ('covid', 'a'), ('safe', 'a'), ('activities', 'n')]",  problem think with some airfield cost remain open verses potential income add that benefit furlough staff these are difficult time for everyone need get balance right inc covid safe activity,-1.75,0.1779,0.057142857,1,-1,1
8,1/6/2021,25303558.0,gilesyb,"I remain astonished by the stock market, not so much in the face of the US riots as the incredibly potent new covid variants.  After so long watching them I really shouldn't be. I know how it works. But still",,London,remain astonished stock market not much face riots incredibly potent new covid variants after long watching them really should not know how works but still,"['remain', 'astonished', 'stock', 'market', 'not', 'much', 'face', 'riots', 'incredibly', 'potent', 'new', 'covid', 'variants', 'after', 'long', 'watching', 'them', 'really', 'should', 'not', 'know', 'how', 'works', 'but', 'still']","['remain', 'astonished', 'stock', 'market', 'not', 'much', 'face', 'riot', 'incredibly', 'potent', 'new', 'covid', 'variant', 'after', 'long', 'watching', 'them', 'really', 'should', 'not', 'know', 'how', 'work', 'but', 'still']",remain astonished stock market not much face riot incredibly potent new covid variant after long watching them really should not know how work but still,"[('remain', 'v'), ('astonished', 'a'), ('stock', 'n'), ('market', 'n'), ('not', None), ('much', 'a'), ('face', 'v'), ('riots', 'n'), ('incredibly', 'r'), ('potent', 'v'), ('new', 'a'), ('covid', 'a'), ('variants', 'n'), ('after', None), ('long', 'r'), ('watching', 'v'), ('them', None), ('really', 'r'), ('should', None), ('not', None), ('know', 'v'), ('how', None), ('works', 'v'), ('but', None), ('still', 'r')]",  remain astonished stock market not much face riot incredibly potent new covid variant after long watch them really should not know how work but still,0.5,0.4141,0.137272727,1,1,1
12,1/6/2021,262799412.0,chutte1,Dear lord Jesus Christ . I thank you for your grace and also that you always listen to my prayers . Therefore lays your hands on lillians and Doris in spirit to heal them from covid. Most of all may your will be done. Amen,,London,dear lord jesus christ thank you for your grace also that you always listen prayers therefore lays your hands lilians doris spirit heal them from covid most all may your will done amen,"['dear', 'lord', 'jesus', 'christ', 'thank', 'you', 'for', 'your', 'grace', 'also', 'that', 'you', 'always', 'listen', 'prayers', 'therefore', 'lays', 'your', 'hands', 'lilians', 'doris', 'spirit', 'heal', 'them', 'from', 'covid', 'most', 'all', 'may', 'your', 'will', 'done', 'amen']","['dear', 'lord', 'jesus', 'christ', 'thank', 'you', 'for', 'your', 'grace', 'also', 'that', 'you', 'always', 'listen', 'prayer', 'therefore', 'lay', 'your', 'hand', 'lilians', 'doris', 'spirit', 'heal', 'them', 'from', 'covid', 'most', 'all', 'may', 'your', 'will', 'done', 'amen']",dear lord jesus christ thank you for your grace also that you always listen prayer therefore lay your hand lilians doris spirit heal them from covid most all may your will done amen,"[('dear', 'a'), ('lord', None), ('jesus', None), ('christ', None), ('thank', 'v'), ('you', None), ('for', None), ('your', None), ('grace', 'n'), ('also', 'r'), ('that', None), ('you', None), ('always', 'r'), ('listen', 'v'), ('prayers', 'n'), ('therefore', 'r'), ('lays', 'v'), ('your', None), ('hands', 'n'), ('lilians', None), ('doris', None), ('spirit', None), ('heal', 'v'), ('them', None), ('from', None), ('covid', 'a'), ('most', 'r'), ('all', None), ('may', None), ('your', None), ('will', None), ('done', 'v'), ('amen', 'n')]",  dear lord jesus christ thank you for your grace also that you always listen prayer therefore lay your hand lilians doris spirit heal them from covid most all may your will do amen,1.0,0.8957,0.5,1,1,1
14,1/6/2021,79737242.0,denismacshane,"Did you see dear PM CNN headlining “Lies” by Trump. Perish thought BBC might do same about untruthful statements on Brexit, Covid",,London,did you see dear headlining lies trump perish thought might same about untruthful statements brexit covid,"['did', 'you', 'see', 'dear', 'headlining', 'lies', 'trump', 'perish', 'thought', 'might', 'same', 'about', 'untruthful', 'statements', 'brexit', 'covid']","['did', 'you', 'see', 'dear', 'headlining', 'lie', 'trump', 'perish', 'thought', 'might', 'same', 'about', 'untruthful', 'statement', 'brexit', 'covid']",did you see dear headlining lie trump perish thought might same about untruthful statement brexit covid,"[('did', None), ('you', None), ('see', 'v'), ('dear', 'a'), ('headlining', 'n'), ('lies', 'n'), ('trump', None), ('perish', 'a'), ('thought', 'n'), ('might', None), ('same', 'a'), ('about', None), ('untruthful', 'a'), ('statements', 'n'), ('brexit', 'n'), ('covid', 'n')]",  did you see dear headlining lie trump perish thought might same about untruthful statement brexit covid,0.0,0.3818,0.0,0,0,1
15,1/6/2021,231763336.0,mazza6069,"Covid has again exposed the fragility  of our precious, decadent West   https://t.co/klvgEat8bR",,London,covid has again exposed fragility our precious decadent west,"['covid', 'has', 'again', 'exposed', 'fragility', 'our', 'precious', 'decadent', 'west']","['covid', 'ha', 'again', 'exposed', 'fragility', 'our', 'precious', 'decadent', 'west']",covid ha again exposed fragility our precious decadent west,"[('covid', None), ('has', None), ('again', 'r'), ('exposed', 'v'), ('fragility', 'n'), ('our', None), ('precious', 'a'), ('decadent', 'n'), ('west', 'n')]",  covid has again expose fragility our precious decadent west,-0.125,0.4767,0.5,1,-1,1
17,1/6/2021,45131936.0,munchmma,Covid-19 is tearing up and down the UK like wild fire. My friend caught it xmas eve....the Government web site sends out tests within a day and results within 48hrs. I get my results tomorrow. There are lots of drive threws as well that are conducting tests.  #COVIDSecondWave  https://t.co/aI4kvRlCus,,London,covid tearing down like wild fire friend caught xmas eve government web site sends out tests within day results within hrs get results tomorrow there are lots drive threws well that are conducting tests covidsecondwave,"['covid', 'tearing', 'down', 'like', 'wild', 'fire', 'friend', 'caught', 'xmas', 'eve', 'government', 'web', 'site', 'sends', 'out', 'tests', 'within', 'day', 'results', 'within', 'hrs', 'get', 'results', 'tomorrow', 'there', 'are', 'lots', 'drive', 'threws', 'well', 'that', 'are', 'conducting', 'tests', 'covidsecondwave']","['covid', 'tearing', 'down', 'like', 'wild', 'fire', 'friend', 'caught', 'xmas', 'eve', 'government', 'web', 'site', 'sends', 'out', 'test', 'within', 'day', 'result', 'within', 'hr', 'get', 'result', 'tomorrow', 'there', 'are', 'lot', 'drive', 'threws', 'well', 'that', 'are', 'conducting', 'test', 'covidsecondwave']",covid tearing down like wild fire friend caught xmas eve government web site sends out test within day result within hr get result tomorrow there are lot drive threws well that are conducting test covidsecondwave,"[('covid', 'a'), ('tearing', 'v'), ('down', None), ('like', None), ('wild', 'a'), ('fire', 'n'), ('friend', 'n'), ('caught', 'v'), ('xmas', None), ('eve', None), ('government', None), ('web', 'n'), ('site', 'n'), ('sends', 'v'), ('out', None), ('tests', 'n'), ('within', None), ('day', 'n'), ('results', 'n'), ('within', None), ('hrs', 'n'), ('get', 'v'), ('results', 'n'), ('tomorrow', 'n'), ('there', None), ('are', 'v'), ('lots', 'n'), ('drive', 'n'), ('threws', 'n'), ('well', None), ('that', None), ('are', None), ('conducting', 'v'), ('tests', 'n'), ('covidsecondwave', 'v')]",  covid tear down like wild fire friend catch xmas eve government web site send out test within day result within hr get result tomorrow there be lot drive threws well that are conduct test covidsecondwave,0.875,0.6597,-0.027777778,-1,1,1
20,1/6/2021,19486557.0,nicolobattisti,"Thankful to have received the first dose of the #COVID19 vaccine at @royalmarsdenNHS. A key step to protect our patients, loved ones and the most vulnerable members of the population. We are on the right track for recovery even in this darkest hour #WearAMask #protecttheNHS  https://t.co/aPabYPbwPk",,London,thankful have received first dose covid vaccine key step protect our patients loved ones most vulnerable members population are right track for recovery even this darkest hour wearamask protecthenhs,"['thankful', 'have', 'received', 'first', 'dose', 'covid', 'vaccine', 'key', 'step', 'protect', 'our', 'patients', 'loved', 'ones', 'most', 'vulnerable', 'members', 'population', 'are', 'right', 'track', 'for', 'recovery', 'even', 'this', 'darkest', 'hour', 'wearamask', 'protecthenhs']","['thankful', 'have', 'received', 'first', 'dose', 'covid', 'vaccine', 'key', 'step', 'protect', 'our', 'patient', 'loved', 'one', 'most', 'vulnerable', 'member', 'population', 'are', 'right', 'track', 'for', 'recovery', 'even', 'this', 'darkest', 'hour', 'wearamask', 'protecthenhs']",thankful have received first dose covid vaccine key step protect our patient loved one most vulnerable member population are right track for recovery even this darkest hour wearamask protecthenhs,"[('thankful', 'a'), ('have', None), ('received', 'v'), ('first', 'a'), ('dose', None), ('covid', None), ('vaccine', 'n'), ('key', 'a'), ('step', 'n'), ('protect', 'v'), ('our', None), ('patients', 'n'), ('loved', 'v'), ('ones', 'n'), ('most', 'r'), ('vulnerable', 'a'), ('members', 'n'), ('population', 'n'), ('are', None), ('right', 'a'), ('track', 'n'), ('for', None), ('recovery', 'n'), ('even', 'r'), ('this', None), ('darkest', 'a'), ('hour', 'n'), ('wearamask', 'n'), ('protecthenhs', None)]",  thankful have receive first dose covid vaccine key step protect our patient love one most vulnerable member population are right track for recovery even this dark hour wearamask protecthenhs,0.375,0.8522,0.126530612,1,1,1
